id,type,subject,author_id,age_range,gptzero,gptzero2,originality,orig_highlight,zerogpt,zero_highlight,gptkit,gptkit_highlight,copyleaks,content_ai_score,content_highlight,passed,turnitin
1428640,Job Application,Professional,14286,Adult,H,AH/AI,2,no,16.64,yes,2,Yes,H,0,HPAI,H,H
1428641,Job Application,Professional,14286,Adult,H,AH/AI,70,yes,75.91,yes,18,Yes,H,0,HPAI,AI,TS
1428642,Job Application,Professional,14286,Adult,H,SAI,96,yes,8.64,no,0,No,H,0,Not enough,AI,TS
2229801,Letter,Personal,22298,High School,H,MAI,0,no,80.32,yes,2,No,H,0,HPAI,H,TS
2229802,Exam,Technology,22298,College,H,H,0,no,1.06,no,5,No,H,1,HPAI,H,H
2229803,Academic Essay,Technology,22298,College,H,H,0,no,14.32,yes,0,No,H,9,HPAI,H,H
2229804,Exam,Science,22298,College,H,H,0,no,13.99,yes,3,Yes,H,0,Not enough,H,H
6233001,Letter,Personal,62330,Adult,H,H,0,no,0,no,0,No,H,0,Not enough,H,H
6233002,Letter,Personal,62330,Adult,H,H,50,no,0,no,0,No,H,0,Not enough,H,H
6233003,Letter,Personal,62330,Adult,H,H,0,no,0,no,0,No,H,0,Not enough,H,H
6233004,Letter,Personal,62330,Adult,H,H,1,no,0,no,0,No,H,0,Not enough,H,H
8073201,Letter,Personal,80732,Child,H,H,0,no,0,no,0,No,H,0,Not enough,H,TS
8073202,Letter,Personal,80732,Adult,MAI,MAI,0,no,29.35,yes,0,No,H,0,Not enough,H,TS
8073203,Letter,Personal,80732,Adult,H,H,0,no,16.73,yes,0,No,H,0,Not enough,H,TS
4371101,Academic Essay,History,43711,College,AH/AI,AH/AI,50,yes,37.8,yes,8,Yes,H,0,HPAI,AI,AI
4371102,Academic Essay,Politics,43711,College,HPAI/LP,HPAI/LP,7,yes,35,yes,0,No,H,0,HPAI,AI,H
4371103,Academic Essay,Politics,43711,College,HPAI/LP,SAI,2,no,15,yes,21,Yes,H,0,HPAI,H,H
4371104,Legal Brief,Law,43711,College,HPAI/LP,H,48,yes,21.79,yes,0,No,H,0,HPAI,AI,H
4371105,Academic Essay,Politics,43711,College,HPAI/LP,HPAI/LP,3,no,23.35,yes,0,No,AI,0,HPAI,H,AI
1428643,Book Review,English,14286,Adult,H,H,0,no,30.57,yes,1,No,H,0,Not enough,H,H
1428644,Book Review,English,14286,Adult,AH/AI,AH/AI,10,no,48.51,yes,0,No,H,92,Very likely AI,H,TS
1428645,Book Review,English,14286,Adult,AH/AI,AH/AI,4,no,56.89,yes,4,No,H,0,HPAI,H,TS
1428646,Book Review,English,14286,Adult,SAI,SAI,100,yes,53.56,yes,19,Yes,H,1,HPAI,AI,TS
1428647,Book Review,English,14286,Adult,H,H,48,yes,11.75,yes,1,No,H,0,HPAI,AI,H
1428648,Book Review,English,14286,Adult,H,H,3,no,48.63,yes,54,No,H,0,Not enough,H,TS
1428649,Book Review,English,14286,Adult,AH/AI,AH/AI,1,no,30.46,yes,7,Yes,H,0,Not enough,H,TS
1428650,Book Review,English,14286,Adult,SAI,SAI,0,no,32.2,yes,1,No,H,0,HPAI,H,H
1428651,Book Review,English,14286,Adult,H,H,88,yes,24.23,yes,0,No,H,0,Not enough,AI,TS
1428652,Book Review,English,14286,Adult,AH/AI,AH/AI,0,no,64.05,yes,6,No,H,0,Not enough,H,TS
1428653,Book Review,English,14286,Adult,H,H,0,no,33.43,yes,3,No,H,0,Not enough,H,H
1428654,Book Review,English,14286,Adult,HPAI/LP,HPAI/LP,15,no,23.73,yes,5,No,H,50,Unclear,H,H
1428655,Book Review,English,14286,Adult,H,H,1,no,9.76,no,9,No,H,0,Not enough,H,H
1428656,Book Review,English,14286,Adult,H,H,50,yes,10.12,no,4,No,H,0,Not enough,AI,H
1428657,Book Review,English,14286,Adult,SAI,SAI,41,yes,49.07,yes,3,No,H,0,Not enough,AI,TS
1428658,Book Review,English,14286,Adult,H,H,11,no,15.82,yes,3,No,H,0,HPAI,H,H
1428659,Book Review,English,14286,Adult,H,H,0,no,0,no,6,No,H,0,Not enough,H,TS
1428660,Book Review,English,14286,Adult,H,H,76,yes,0,no,34,No,H,0,Not enough,AI,TS
1428661,Book Review,English,14286,Adult,MAI,MAI,0,no,48.71,yes,54,No,H,0,HPAI,H,NP
1428662,Book Review,English,14286,Adult,H,H,0,no,0,no,4,No,H,50,Unclear,H,H
1428663,Book Review,English,14286,Adult,H,H,19,no,16.61,no,48,Yes,H,0,HPAI,H,H
1428664,Book Review,English,14286,Adult,SAI,SAI,0,no,32,yes,8,No,H,0,Not enough,H,TS
1428665,Book Review,English,14286,Adult,H,H,1,no,35.16,yes,8,Yes,H,0,HPAI,AI,H
